name,address,city,state,zip,phone,fax
Alameda County Board of Elections,1225 Fallon Street,Oakland,California,94612,510-272-6933,510-272-6982
Alpine County Board of Elections,PO Box 158,Markleeville,California,96120,530-694-2281,530-694-2491
Amador County Board of Elections,810 Court Street,Jackson,California,95642,209-223-6465,209-223-6467
Butte County Board of Elections,25 County Center Drive,Oroville,California,95965,530-538-7761,530-538-6853
Calaveras County Board of Elections,891 Mountain Ranch Road,San Andreas,California,95249,209-754-6376,209-754-6733
Colusa County Board of Elections,546 Jay Street,Colusa,California,95932,530-458-0500,530-458-0512
Contra Costa County Board of Elections,PO Box 271,Martinez,California,94553,925-335-7800,925-335-7843
Del Norte County Board of Elections,981 Front Street,Crescent,California,95531,707-464-7216,707-465-0321
El Dorado County Board of Elections,2850 Fairlane Court,Placerville,California,95667,530-621-7480,530-626-5514
Fresno County Board of Elections,2221 Kern Street,Fresno,California,93721,559-600-8683,559-488-3279
Glenn County Board of Elections,516 West Sycamore Street,Willows,California,95988,530-934-6414,530-934-6571
Humboldt County Board of Elections,3033 H Street,Eureka,California,95501,707-445-7481,707-445-7204
Imperial County Board of Elections,940 West Main Street,El Centro,California,92243,760-482-4226,760-337-4182
Inyo County Board of Elections,PO Box F,Independence,California,93526,760-878-0224,760-878-1805
Kern County Board of Elections,1115 Truxtun Avenue,Bakersfield,California,93301,661-868-3590,661-868-3768
Kings County Board of Elections,1400 West Lacey Boulevard,Hanford,California,93230,559-582-3211,559-585-8453
Lake County Board of Elections,255 North Forbes Street,Lakeport,California,95453,707-263-2372,707-263-2742
Lassen County Board of Elections,220 South Lassen Street,Susanville,California,96130,530-251-8217,530-257-3480
Los Angeles County Board of Elections,PO Box 1024,Norwalk,California,90651,562-466-1310,562-929-4790
Madera County Board of Elections,200 West 4th Street,Madera,California,93637,559-675-7720,559-675-7870
