name,address,city,state,zip,phone,fax
Acadia Parish Board of Elections,568 Northeast Court Circle,Crowley,Louisiana,70526,337-788-8841,337-788-3571
Allen Parish Board of Elections,105 North 5th Street,Oberlin,Louisiana,70655,337-639-4966,337-639-4691
Ascension Parish Board of Elections,828 South Irma Avenue,Gonzales,Louisiana,70737,225-621-5780,225-621-5783
Assumption Parish Board of Elections,4809 Route 1,Napoleonville,Louisiana,70390,985-369-7347,985-369-2976
Avoyelles Parish Board of Elections,312 North Main Street,Marksville,Louisiana,71351,318-253-7129,318-253-0359
Beauregard Parish Board of Elections,204 South Stewart Street,DeRidder,Louisiana,70634,337-463-7955,337-463-7986
Bienville Parish Board of Elections,100 Courthouse Drive,Arcadia,Louisiana,71001,318-263-7407,318-263-4101
Bossier Parish Board of Elections,204 Burt Boulevard,Benton,Louisiana,71006,318-965-2301,318-965-3760
Caddo Parish Board of Elections,525 Marshall Street,Shreveport,Louisiana,71101,318-226-6891,318-226-6969
Calcasieu Parish Board of Elections,1000 Ryan Street,Lake Charles,Louisiana,70601,337-721-4000,337-437-3389
Caldwell Parish Board of Elections,201 Main Street,Columbia,Louisiana,71418,318-649-7364,318-649-7320
Cameron Parish Board of Elections,148 Smith Cir,Cameron,Louisiana,70631,337-775-5493,337-775-8014
Catahoula Parish Board of Elections,301 Bushley Street,Jonesville,Louisiana,71343,318-744-5745,318-744-2010
Claiborne Parish Board of Elections,507 West Main Street,Homer,Louisiana,71040,318-927-3332,318-927-3345
Concordia Parish Board of Elections,4001 Carter St Ste K,Vidalia,Louisiana,71373,318-336-7770,318-336-9906
De Soto Parish Board of Elections,105 Franklin Street,Mansfield,Louisiana,71052,318-872-1149,318-872-1153
East Baton Rouge Parish Board of Elections,222 Saint Louis Street,Baton Rouge,Louisiana,70802,225-389-3940,225-389-5340
East Carroll Parish Board of Elections,400 1st Street,Lake Providence,Louisiana,71254,318-559-2015,318-559-5110
East Feliciana Parish Board of Elections,11048 Bank Street,Clinton,Louisiana,70722,225-683-3105,225-683-9464
Evangeline Parish Board of Elections,200 Court Street,Ville Platte,Louisiana,70586,337-363-5538,337-363-5530
