name,address,city,state,zip,phone,fax
Alcona County Board of Elections,PO Box 308,Harrisville,Michigan,48740,989-724-9410,989-724-9419
Alger County Board of Elections,101 East Munising Avenue,Munising,Michigan,49862,906-387-2076,906-387-2156
Allegan County Board of Elections,113 Chestnut Street,Allegan,Michigan,49010,269-673-0450,269-673-0298
Alpena County Board of Elections,720 West Chisholm Street,Alpena,Michigan,49707,989-354-9520,989-354-9644
Antrim County Board of Elections,PO Box 520,Bellaire,Michigan,49615,231-533-6353,231-533-6935
Arenac County Board of Elections,120 North Grove Street,Standish,Michigan,48658,989-846-4626,989-846-9194
Baraga County Board of Elections,2 North Main Street,L'Anse,Michigan,49946,906-524-6183,906-524-6432
Barry County Board of Elections,220 West State Street,Hastings,Michigan,49058,269-945-1285,269-945-0209
Bay County Board of Elections,515 Center Avenue,Bay,Michigan,48708,989-895-4280,
Benzie County Board of Elections,PO Box 377,Beulah,Michigan,49617,231-882-9671,231-882-5941
Berrien County Board of Elections,811 Port Street,St. Joseph,Michigan,49085,269-983-7111,269-982-8642
Branch County Board of Elections,31 Division Street,Coldwater,Michigan,49036,517-279-4306,517-278-5627
Calhoun County Board of Elections,315 West Green Street,Marshall,Michigan,49068,269-781-0988,269-781-0720
Cass County Board of Elections,PO Box 355,Cassopolis,Michigan,49031,269-445-4464,269-445-4406
Charlevoix County Board of Elections,203 Antrim Street,Charlevoix,Michigan,49720,231-547-7200,231-547-7217
Cheboygan County Board of Elections,PO Box 70,Cheboygan,Michigan,49721,231-627-8808,231-627-8453
Chippewa County Board of Elections,319 Court Street,Sault Ste. Marie,Michigan,49783,906-635-6300,906-635-6851
Clare County Board of Elections,PO Box 438,Harrison,Michigan,48625,989-539-7131,989-539-6616
Clinton County Board of Elections,100 East State Street,St. Johns,Michigan,48879,989-224-5140,989-227-6421
Crawford County Board of Elections,200 Michigan Avenue,Grayling,Michigan,49738,989-344-3200,989-344-3223
