name,address,city,state,zip,phone,fax
Adair County Board of Elections,106 West Washington Street,Kirksville,Missouri,63501,660-665-3350,660-785-3233
Andrew County Board of Elections,PO Box 206,Savannah,Missouri,64485,816-324-3624,816-324-6154
Atchison County Board of Elections,PO Box 280,Rock Port,Missouri,64482,660-744-6214,660-744-5499
Audrain County Board of Elections,101 North Jefferson Street,Mexico,Missouri,65265,573-473-5820,573-581-2380
Barry County Board of Elections,700 Main Street,Cassville,Missouri,65625,417-847-2561,417-847-5311
Barton County Board of Elections,1004 Gulf Street,Lamar,Missouri,64759,417-682-3529,417-682-4100
Bates County Board of Elections,1 North Delaware Street,Butler,Missouri,64730,660-679-3371,660-679-9922
Benton County Board of Elections,PO Box 1238,Warsaw,Missouri,65355,660-438-7326,660-438-3275
Bollinger County Board of Elections,204 High Street,Marble Hill,Missouri,63764,573-238-1900,573-238-3275
Boone County Board of Elections,801 East Walnut Street,Columbia,Missouri,65201,573-886-4295,573-886-4300
Buchanan County Board of Elections,411 Jules Street,St. Joseph,Missouri,64501,816-271-1411,816-271-1535
Butler County Board of Elections,100 North Main Street,Poplar Bluff,Missouri,63901,573-686-8050,573-686-8066
Caldwell County Board of Elections,PO Box 67,Kingston,Missouri,64650,816-586-2571,816-586-3001
Callaway County Board of Elections,10 East 5th Street,Fulton,Missouri,65251,573-642-0730,573-642-7181
Camden County Board of Elections,1 Court Circle Northwest,Camdenton,Missouri,65020,573-317-3890,573-346-8445
Cape Girardeau County Board of Elections,1 Barton Square,Jackson,Missouri,63755,573-243-3547,573-204-2418
Carroll County Board of Elections,8 South Main Street,Carrollton,Missouri,64633,660-542-0615,660-542-0621
Carter County Board of Elections,PO Box 517,Van Buren,Missouri,63965,573-323-4527,573-323-4527
Cass County Board of Elections,102 East Wall Street,Harrisonville,Missouri,64701,816-380-8102,816-380-8101
Cedar County Board of Elections,113 South Street,Stockton,Missouri,65785,417-276-6700,417-276-3461
