name,address,city,state,zip,phone,fax
Accomack County Board of Elections,23312 Courthouse Avenue,Accomac,Virginia,23301,757-824-0525,757-824-0525
Albemarle County Board of Elections,1600 5th Street Extension,Charlottesville,Virginia,22902,434-972-4173,434-972-4178
Alexandria County Board of Elections,132 N Royal St,Alexandria,Virginia,22314,703-838-4050,703-838-6449
Alleghany County Board of Elections,110 Rosedale Avenue,Covington,Virginia,24426,540-965-1690,540-965-1692
Amelia County Board of Elections,9127 Washington Street,Amelia Court House,Virginia,23002,804-561-3460,804-561-3490
Amherst County Board of Elections,PO Box 550,Amherst,Virginia,24521,434-946-9315,434-946-9345
Appomattox County Board of Elections,PO Box 8,Appomattox,Virginia,24522,434-352-5302,434-352-4409
Arlington County Board of Elections,2100 North Clarendon Boulevard,Arlington,Virginia,22201,703-228-3456,703-228-3659
Augusta County Board of Elections,18 Gov Center Lane,Verona,Virginia,24482,540-245-5656,540-245-5037
Bath County Board of Elections,65 Courthouse Hill Road,Warm Springs,Virginia,24484,540-839-7266,540-839-7277
Bedford County Board of Elections,122 East Main Street,Bedford,Virginia,24523,540-586-7649,540-586-8358
Bedford County Board of Elections,214 East Main Street,Bedford,Virginia,24523,540-587-6007,540-586-6143
Bland County Board of Elections,599 Main Street,Bland,Virginia,24315,276-688-4441,276-688-3552
Botetourt County Board of Elections,2 East Main Street,Fincastle,Virginia,24090,540-473-8235,540-473-8657
Bristol County Board of Elections,300 Lee St Ste 101,Bristol,Virginia,24201,276-645-7318,276-645-7331
Brunswick County Board of Elections,100 Old Tobacco Drive,Lawrenceville,Virginia,23868,434-848-4414,434-848-9276
Buchanan County Board of Elections,PO Box 975,Grundy,Virginia,24614,276-935-6534,276-935-4320
Buckingham County Board of Elections,13012 West James Anderson Highway,Buckingham,Virginia,23921,434-969-4304,434-969-2060
Buena Vista County Board of Elections,2039 Sycamore Ave,Buena Vista,Virginia,24416,540-261-8605,540-261-8618
Campbell County Board of Elections,41 Courthouse Lane,Rustburg,Virginia,24588,434-332-9579,434-332-9689
