name,address,city,state,zip,phone,fax
Adams County Board of Elections,210 West Broadway Avenue,Ritzville,Washington,99169,509-659-3249,509-659-3254
Asotin County Board of Elections,PO Box 129,Asotin,Washington,99402,509-243-2084,509-243-2087
Benton County Board of Elections,PO Box 470,Prosser,Washington,99350,509-736-3085,509-786-5482
Chelan County Board of Elections,PO Box 4760,Wenatchee,Washington,98807,509-667-6808,509-667-6818
Clallam County Board of Elections,223 East 4th Street,Port Angeles,Washington,98362,360-417-2221,360-417-2312
Clark County Board of Elections,PO Box 8815,Vancouver,Washington,98666,360-397-2345,360-397-2394
Columbia County Board of Elections,341 East Main Street,Dayton,Washington,99328,509-382-4541,509-382-4830
Cowlitz County Board of Elections,207 4th Avenue North,Kelso,Washington,98626,360-577-3005,360-442-7879
Douglas County Board of Elections,PO Box 456,Waterville,Washington,98858,509-745-8527,509-745-8812
Ferry County Board of Elections,350 E Delaware Ave Stop 2,Republic,Washington,99166,509-775-5200,509-775-5208
Franklin County Board of Elections,PO Box 1451,Pasco,Washington,99301,509-545-3538,509-543-2995
Garfield County Board of Elections,PO Box 278,Pomeroy,Washington,99347,509-843-1411,509-843-3941
Grant County Board of Elections,PO Box 37,Ephrata,Washington,98823,509-754-2011,509-754-6562
Grays Harbor County Board of Elections,100 West Broadway Avenue,Montesano,Washington,98563,360-964-1556,360-249-3330
Island County Board of Elections,PO Box 1410,Coupeville,Washington,98239,360-679-7366,360-678-2326
Jefferson County Board of Elections,PO Box 563,Port Townsend,Washington,98368,360-385-9117,360-385-9228
King County Board of Elections,919 Southwest Grady Way,Renton,Washington,98057,206-296-8683,206-296-0108
Kitsap County Board of Elections,619 Division Street,Port Orchard,Washington,98366,360-337-7128,360-337-5769
Kittitas County Board of Elections,205 West 5th Avenue,Ellensburg,Washington,98926,509-962-7503,509-962-7687
Klickitat County Board of Elections,205 S Columbus Ave Stop 2,Goldendale,Washington,98620,509-773-4001,509-773-4244
