name,address,city,state,zip,phone,fax
Adams County Board of Elections,PO Box 278,Friendship,Wisconsin,53934,608-339-4200,608-339-4514
Ashland County Board of Elections,201 Main Street West,Ashland,Wisconsin,54806,715-682-7016,
Barron County Board of Elections,335 East Monroe Avenue,Barron,Wisconsin,54812,715-537-6200,715-537-6820
Bayfield County Board of Elections,PO Box 878,Washburn,Wisconsin,54891,715-373-6100,
Brown County Board of Elections,305 East Walnut Street,Green Bay,Wisconsin,54301,920-448-4016,920-448-4498
Buffalo County Board of Elections,407 South 2nd Street,Alma,Wisconsin,54610,608-685-6209,608-685-6284
Burnett County Board of Elections,7410 County Road K,Siren,Wisconsin,54872,715-349-2173,715-349-2169
Calumet County Board of Elections,206 Court Street,Chilton,Wisconsin,53014,920-849-2361,
Clark County Board of Elections,517 Court Street,Neillsville,Wisconsin,54456,715-743-5148,715-743-5154
Columbia County Board of Elections,400 De Witt Street,Portage,Wisconsin,53901,608-742-9654,608-742-9602
Crawford County Board of Elections,225 North Beaumont Road,Prairie du Chien,Wisconsin,53821,608-326-0200,
Dane County Board of Elections,210 Martin Luther King Junior Boulevard,Madison,Wisconsin,53703,608-266-4121,
Dodge County Board of Elections,127 East Oak Street,Juneau,Wisconsin,53039,920-386-3600,920-386-4292
Door County Board of Elections,421 Nebraska Street,Sturgeon Bay,Wisconsin,54235,920-746-2200,920-746-2330
Douglas County Board of Elections,1313 Belknap Street,Superior,Wisconsin,54880,715-395-1341,715-395-1421
Dunn County Board of Elections,800 Wilson Avenue,Menomonie,Wisconsin,54751,715-232-1677,715-232-2534
Eau Claire County Board of Elections,721 Oxford Avenue,Eau Claire,Wisconsin,54703,715-839-4803,
Florence County Board of Elections,501 Lake Avenue,Florence,Wisconsin,54121,715-528-3201,715-528-4762
Forest County Board of Elections,200 East Madison Street,Crandon,Wisconsin,54520,715-478-2422,715-478-5175
Grant County Board of Elections,PO Box 529,Lancaster,Wisconsin,53813,608-723-2675,608-723-4048
